,n,scheduler,st_1,st_2,st_3,wt_1,wt_2,wt_3,tat_1,tat_2,tat_3
118,59001,rr,1.0,5.3,7.5,11241.8,1327.6,1146.9,42685.2,1724.2,1604.7
119,59001,fcfs,0.8,10264.2,11411.2,0.8,10264.2,11411.2,10245.3,11409.6,12658.5
120,60001,rr,0.8,4.2,6.5,17001.3,985.7,1094.9,64266.7,1258.3,1437.1
121,60001,fcfs,0.8,7184.3,8421.9,0.8,7184.3,8421.9,7181.0,8420.7,10313.7
122,61001,rr,1.2,5.9,8.2,10106.6,729.6,867.6,40492.0,1059.3,1064.7
123,61001,fcfs,0.8,12944.9,14603.0,0.8,12944.9,14603.0,12937.4,14601.2,16708.2
124,62001,rr,2.5,7.4,9.8,30012.8,1016.3,1314.6,105979.9,1393.8,1778.3
125,62001,fcfs,0.8,6001.8,7366.7,0.8,6001.8,7366.7,5998.9,7365.9,8899.9
126,63001,rr,1.0,4.3,6.6,27799.6,840.0,843.6,92004.5,1079.4,1083.4
127,63001,fcfs,1.3,8126.7,9564.1,1.3,8126.7,9564.1,8124.0,9563.3,11539.9
128,64001,rr,0.7,4.0,6.3,11202.5,1012.6,850.6,40592.2,1290.2,1281.0
129,64001,fcfs,0.9,5019.8,6461.8,0.9,5019.8,6461.8,5017.0,6460.7,8173.7
130,65001,rr,1.1,5.1,7.3,14504.6,901.7,1180.2,54446.5,1246.7,1558.2
131,65001,fcfs,0.8,8249.6,9392.4,0.8,8249.6,9392.4,8246.7,9391.4,11171.7
132,66001,rr,1.1,5.3,8.3,23027.9,1112.1,1396.7,76970.9,1435.1,1853.1
133,66001,fcfs,0.9,8337.7,9940.5,0.9,8337.7,9940.5,8334.7,9939.6,11333.5
134,67001,rr,1.1,5.2,7.3,10994.2,1261.9,1372.2,41300.5,1645.4,1784.1
135,67001,fcfs,0.9,8430.5,10942.9,0.9,8430.5,10942.9,8426.5,10940.6,12197.8
136,68001,rr,1.3,6.4,8.8,9364.7,984.9,1046.5,36447.9,1253.3,1369.8
137,68001,fcfs,0.9,5102.0,6233.2,0.9,5102.0,6233.2,5098.8,6232.5,7463.4
138,69001,rr,1.1,4.6,6.8,27575.5,1288.6,1240.9,95841.3,1666.0,1661.0
139,69001,fcfs,0.8,7815.0,9008.8,0.8,7815.0,9008.8,7808.2,9007.6,9998.4
140,70001,rr,1.2,5.7,8.2,21173.5,1221.3,1193.1,80172.4,1576.2,1574.0
141,70001,fcfs,0.8,7473.6,8623.1,0.8,7473.6,8623.1,7470.4,8622.3,10460.6
142,71001,rr,0.8,4.3,6.5,27510.2,1019.9,1047.4,109237.9,1335.0,1359.7
143,71001,fcfs,1.1,12303.5,13844.2,1.1,12303.5,13844.2,12297.8,13843.1,15484.9
144,72001,rr,0.9,4.9,7.3,36310.6,1069.2,865.0,121955.9,1370.0,1308.2
145,72001,fcfs,0.8,9532.5,10909.5,0.8,9532.5,10909.5,9529.8,10908.5,12657.6
146,73001,rr,0.8,4.4,6.6,21628.4,726.4,1090.6,77045.0,937.7,1569.8
147,73001,fcfs,0.8,6956.7,8266.0,0.8,6956.7,8266.0,6953.5,8265.2,9740.5
148,74001,rr,0.9,4.4,6.6,11950.2,855.4,864.9,44419.1,1123.3,1103.1
149,74001,fcfs,0.8,8685.5,9943.6,0.8,8685.5,9943.6,8682.7,9942.8,11457.6
150,75001,rr,1.0,13.9,16.6,8217.4,772.9,964.2,34222.6,1175.0,1194.9
151,75001,fcfs,1.0,9758.3,11051.7,1.0,9758.3,11051.7,9750.1,11050.0,12306.0
152,76001,rr,0.9,4.3,6.6,13051.4,1141.6,1112.1,47570.5,1535.2,1533.0
153,76001,fcfs,1.0,10848.4,12339.9,1.0,10848.4,12339.9,10845.2,12339.2,13937.3
154,77001,rr,1.1,5.5,8.0,27097.7,738.2,923.0,103467.2,1092.5,1184.1
155,77001,fcfs,0.8,8092.7,9579.7,0.8,8092.7,9579.7,8089.7,9578.8,11032.5
156,78001,rr,1.1,5.2,7.5,20906.5,1955.1,2015.3,74284.6,2536.9,2693.3
157,78001,fcfs,0.7,6847.3,7916.4,0.7,6847.3,7916.4,6844.1,7915.1,9574.1
158,79001,rr,1.0,5.3,7.8,37132.0,803.7,1181.0,130208.7,1035.8,1716.5
159,79001,fcfs,0.8,12863.1,14345.1,0.8,12863.1,14345.1,12855.8,14343.6,16207.0
160,80001,rr,0.8,4.0,6.2,10848.5,840.1,848.3,48322.6,1096.7,1094.0
161,80001,fcfs,0.8,15928.7,17261.0,0.8,15928.7,17261.0,15922.8,17259.8,18970.9
162,81001,rr,1.1,5.2,7.6,32221.8,1106.7,1090.0,111685.1,1420.9,1413.2
163,81001,fcfs,0.9,9698.8,11455.1,0.9,9698.8,11455.1,9691.6,11453.0,13068.7
164,82001,rr,1.0,4.8,6.9,16809.0,1601.5,1616.0,62625.7,2152.1,2177.5
